"id","title","release_year","rating","director","runtime"
111,A Separation,2011,8.3,Asghar Farhadi,123
112,Toy Story 3,2010,8.2,Lee Unkrich,103
113,The Sting,1973,8.3,George Roy Hill,129
114,Lawrence of Arabia,1962,8.3,David Lean,228
115,Amélie,2001,8.3,Jean-Pierre Jeunet,122
116,Metropolis,1927,8.3,Fritz Lang,153
117,The Apartment,1960,8.3,Billy Wilder,125
118,For a Few Dollars More,1965,8.2,Sergio Leone,132
119,Double Indemnity,1944,8.3,Billy Wilder,107
120,To Kill a Mockingbird,1962,8.2,Robert Mulligan,129
121,Up,2009,8.2,Pete Docter,96
122,Indiana Jones and the Last Crusade,1989,8.2,Steven Spielberg,127
123,Heat,1995,8.2,Michael Mann,170
124,L.A. Confidential,1997,8.2,Curtis Hanson,138
125,Green Book,2018,8.2,Peter Farrelly,130
126,Die Hard,1988,8.2,John McTiernan,132
127,Batman Begins,2005,8.2,Christopher Nolan,140
128,Yojimbo,1961,8.2,Akira Kurosawa,110
129,Monty Python and the Holy Grail,1975,8.2,Terry Gilliam,91
130,Rashomon,1950,8.2,Akira Kurosawa,88
131,Downfall,2004,8.2,Oliver Hirschbiegel,156
132,Children of Heaven,1997,8.3,Majid Majidi,89
133,Ran,1985,8.2,Akira Kurosawa,162
134,Unforgiven,1992,8.2,Clint Eastwood,130
135,Some Like It Hot,1959,8.2,Billy Wilder,121
136,Howl's Moving Castle,2004,8.2,Hayao Miyazaki,119
137,All About Eve,1950,8.2,Joseph L. Mankiewicz,138
138,Casino,1995,8.2,Martin Scorsese,178
139,A Beautiful Mind,2001,8.2,Ron Howard,135
140,The Wolf of Wall Street,2013,8.2,Martin Scorsese,180
141,The Great Escape,1963,8.2,John Sturges,172
142,Pan's Labyrinth,2006,8.2,Guillermo del Toro,118
143,There Will Be Blood,2007,8.2,Paul Thomas Anderson,158
144,The Secret in Their Eyes,2009,8.2,Juan José Campanella,129
145,"Lock, Stock and Two Smoking Barrels",1998,8.2,Guy Ritchie,107
146,Judgment at Nuremberg,1961,8.2,Stanley Kramer,179
147,Raging Bull,1980,8.2,Martin Scorsese,129
148,My Neighbor Totoro,1988,8.2,Hayao Miyazaki,86
149,The Treasure of the Sierra Madre,1948,8.2,John Huston,126
150,Dial M for Murder,1954,8.2,Alfred Hitchcock,105
151,Shutter Island,2010,8.2,Martin Scorsese,138
152,"Three Billboards Outside Ebbing, Missouri",2017,8.1,Martin McDonagh,115
153,The Gold Rush,1925,8.2,Charles Chaplin,95
154,Chinatown,1974,8.1,Roman Polanski,130
155,My Father and My Son,2005,8.3,Çagan Irmak,112
156,No Country for Old Men,2007,8.1,Ethan Coen,122
157,V for Vendetta,2005,8.2,James McTeigue,132
158,Inside Out,2015,8.1,Pete Docter,95
159,The Thing,1982,8.1,John Carpenter,109
160,The Elephant Man,1980,8.1,David Lynch,124
161,The Seventh Seal,1957,8.2,Ingmar Bergman,96
162,The Sixth Sense,1999,8.1,M. Night Shyamalan,107
163,Warrior,2011,8.2,Gavin O'Connor,140
164,Jurassic Park,1993,8.1,Steven Spielberg,127
165,Klaus,2019,8.2,Sergio Pablos,96
166,Trainspotting,1996,8.1,Danny Boyle,93
167,Zack Snyder's Justice League,2021,8.3,Zack Snyder,242
168,The Truman Show,1998,8.1,Peter Weir,103
169,Gone with the Wind,1939,8.1,Victor Fleming,238
170,Finding Nemo,2003,8.1,Andrew Stanton,100
171,Stalker,1979,8.2,Andrei Tarkovsky,162
172,Wild Strawberries,1957,8.2,Ingmar Bergman,91
173,Memories of Murder,2003,8.1,Bong Joon Ho,132
174,Kill Bill: Vol. 1,2003,8.1,Quentin Tarantino,111
175,Blade Runner,1982,8.1,Ridley Scott,117
176,The Bridge on the River Kwai,1957,8.1,David Lean,161
177,Fargo,1996,8.1,Joel Coen,98
178,Wild Tales,2014,8.1,Damián Szifron,122
179,Room,2015,8.1,Lenny Abrahamson,118
180,Tokyo Story,1953,8.2,Yasujirô Ozu,136
181,The Third Man,1949,8.1,Carol Reed,93
182,Gran Torino,2008,8.1,Clint Eastwood,116
183,On the Waterfront,1954,8.1,Elia Kazan,108
184,The Deer Hunter,1978,8.1,Michael Cimino,183
185,In the Name of the Father,1993,8.1,Jim Sheridan,133
186,Mary and Max,2009,8.1,Adam Elliot,92
187,Before Sunrise,1995,8.1,Richard Linklater,101
188,The Grand Budapest Hotel,2014,8.1,Wes Anderson,99
189,Catch Me If You Can,2002,8.1,Steven Spielberg,141
190,Gone Girl,2014,8.1,David Fincher,149
191,Hacksaw Ridge,2016,8.1,Mel Gibson,139
192,Prisoners,2013,8.1,Denis Villeneuve,153
193,Persona,1966,8.1,Ingmar Bergman,83
194,Andhadhun,2018,8.3,Sriram Raghavan,139
195,Sherlock Jr.,1924,8.2,Buster Keaton,45
196,The Big Lebowski,1998,8.1,Joel Coen,117
197,To Be or Not to Be,1942,8.2,Ernst Lubitsch,99
198,Barry Lyndon,1975,8.1,Stanley Kubrick,185
199,The General,1926,8.1,Clyde Bruckman,67
200,How to Train Your Dragon,2010,8.1,Dean DeBlois,98
201,Ford v Ferrari,2019,8.1,James Mangold,152
202,"12 Years a Slave",2013,8.1,Steve McQueen,134
203,The Bandit,1996,8.2,Yavuz Turgul,128
204,Autumn Sonata,1978,8.2,Ingmar Bergman,99
205,Mr. Smith Goes to Washington,1939,8.1,Frank Capra,129
206,Mad Max: Fury Road,2015,8.1,George Miller,120
207,Anand,1971,8.3,Hrishikesh Mukherjee,122
208,Dead Poets Society,1989,8.1,Peter Weir,128
209,Million Dollar Baby,2004,8.1,Clint Eastwood,132
210,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,David Yates,130
211,Stand by Me,1986,8.1,Rob Reiner,89
212,Network,1976,8.1,Sidney Lumet,121
213,Ben-Hur,1959,8.1,William Wyler,212
214,Hachi: A Dog's Tale,2009,8.1,Lasse Hallström,93
215,The Handmaiden,2016,8.1,Chan-wook Park,145
216,Cool Hand Luke,1967,8.1,Stuart Rosenberg,127
217,Logan,2017,8.1,James Mangold,137
218,Platoon,1986,8.1,Oliver Stone,120
219,The Wages of Fear,1953,8.1,Henri-Georges Clouzot,131
220,Into the Wild,2007,8.1,Sean Penn,148
221,Rush,2013,8.1,Ron Howard,123
222,La Haine,1995,8.1,Mathieu Kassovitz,98
223,Monty Python's Life of Brian,1979,8.1,Terry Jones,94
224,The 400 Blows,1959,8.1,François Truffaut,99
225,The Passion of Joan of Arc,1928,8.1,Carl Theodor Dreyer,114
226,Spotlight,2015,8.1,Tom McCarthy,129
227,Raatchasan,2018,8.5,Ram Kumar,170
228,Hotel Rwanda,2004,8.1,Terry George,121
229,Gangs of Wasseypur,2012,8.2,Anurag Kashyap,321
230,Amores Perros,2000,8.1,Alejandro G. Iñárritu,154
